name,lat,lng,address,zone,uid,_geo/lat,_geo/lng,searchScore,popularityScore,lat_scaled,lng_scaled,cluster
Pallir Yubak Brinda,22.576123,88.367023,"sitaram ghosh street, Kolkata, West Bengal 700009",CCU-C,d9wX9r2,22.576123,88.367023,0,,0.218708595,0.051079088,4
Beliaghata Shibtala Adhibasi Brinda,22.564395,88.377405,"Shibtala Ln, Seal Lane, Tangra, Kolkata-700015",CCU-C,vxLiUA5,22.564395,88.377405,0,,0.045541352,0.338739981,4
Tangra Harisava Math Sarbojanin,22.55495,88.391065,"54, Debendra Chandra Dey Rd, Tangra, Kolkata, West Bengal 700015",CCU-C,iZ6MRtw,22.55495,88.391065,0,,-0.093916749,0.717226573,4
Beleghata Sarkar Bazar Vivekananda Sangha Durga Puja,22.568187,88.386046,"97, KG Bose Sarani, Kundu Bagan, Beleghata, Kolkata, West Bengal 700085",CCU-C,gJKVoEL,22.568187,88.386046,0,,0.101531306,0.578161843,4
New Market Sabojanin Sri Sri Durga Puja,22.56047,88.354968,"38 MARKET STREET AND, Mirza Ghalib St, Dharmatala, crossing, Kolkata, West Bengal 700087",CCU-C,fsJT23c,22.56047,88.354968,0,,-0.012412385,-0.282936715,4
Amherst Sarbojanin Durgotsab,22.57877,88.369713,"50, Raja Ram Mohan Sarani, Machuabazar, Kolkata, West Bengal 700009",CCU-C,F5BKD9f,22.57877,88.369713,0,,0.2577923,0.125612685,4
Kalimuddin Adhibasi Brindo Sarbojonin Durgautsav,22.561972,88.393767,"Kalimuddin Sarkar Ln, Kulia, Beleghata, Kolkata-700010",CCU-C,AmG6nF1,22.561972,88.393767,0,,0.00976507,0.792092662,2
37 Pally Sarbojanin Durgotsab O Saradiya Sammelan,22.574566,88.368107,"10, Dr Kartik Bose St, College Row, Baithakkhana, Kolkata-700009",CCU-C,mFYrana,22.574566,88.368107,0,,0.195719049,0.081114188,4
Entally Kantal Bagan Durga Puja Committee,22.557502,88.371924,"35/A, Entally, Kolkata, West Bengal 700014",CCU-C,CfUQOWd,22.557502,88.371924,0,,-0.056235746,0.186874314,4
Entally Udayan Sangha,22.557594,88.367002,"16, Haralal Das St, Entally, Kolkata, West Bengal 700014",CCU-C,CvZkpaA,22.557594,88.367002,0,,-0.05487734,0.050497227,4
Jorasanko 7er Palli,22.584,88.361336,"Raja Katra, Singhi Bagan, Jorasanko, Kolkata, West Bengal 700007",CCU-C,fxztYdq,22.584,88.361336,0,,0.335014732,-0.106494357,4
Interact Club of Chowringhee High School Sarbojanin Durga Puja,22.556686,88.353042,"12A, Chowringhee Lane, Kolkata, West Bengal 700016",CCU-C,0sSeMrH,22.556686,88.353042,0,,-0.068284218,-0.336301662,4
Narikeldanga Sastitala Durga Puja Committeee,22.575954,88.381052,"13, Sastitala Rd, Narkeldanga, Kolkata, West Bengal 700011",CCU-C,VbwIJlM,22.575954,88.381052,0,,0.216213262,0.439789805,4
Simla Bayam Samity,22.585401,88.365009,"9B, Singhee Lane, P O. Beadon Street, Simla, Machuabazar, Kolkata, West Bengal 700006",CCU-C,dBvjB5Y,22.585401,88.365009,0,,0.355700893,-0.004724133,4
College Square Sarbojanin Durgotsab Committee,22.574407,88.364361,"Lalbajar, College Square, Kolkata, West Bengal 700012",CCU-C,c0OvSO2,22.574407,88.364361,0,,0.193371368,-0.022678695,4
Beleghata Santi Sangha,22.561941,88.391229,"26/H/4, Barwaritala Rd, Kulia, Beleghata, Kolkata, West Bengal 700010",CCU-C,5skh8Pd,22.561941,88.391229,0,,0.009307346,0.721770629,4
Kankurgachi Jubak Brinda (Kankurgachi Sarbojanin Durgotsab),22.579535,88.387885,"Kankurgachi, Kolkata-700054",CCU-C,X5OWggD,22.579535,88.387885,0,,0.269087741,0.629116224,4
Central Calcutta Youth Association Durga Puja Committee,22.563772,88.3625,"37, Gokul Boral St, Bowbazar, Kolkata, West Bengal 700016",CCU-C,1fxKTmX,22.563772,88.3625,0,,0.03634258,-0.074242644,4
Wellington Nagrik Kalyan Samity Durga Puja,22.564713,88.357538,"Biplabi Anukul Chandra Street, Princep St, Bowbazar, Kolkata, West Bengal 700072",CCU-C,vECgWYJ,22.564713,88.357538,0,,0.050236712,-0.211728037,4
Rash Moni Bagan Kishore Sangha,22.558122,88.390937,"Rashmoni Bagan Ln, Tangra, Kolkata, West Bengal 700015",CCU-C,MREnDsS,22.558122,88.390937,0,,-0.047081271,0.713679993,4
20 Pally Puja O Janakalyan Samity,22.550168,88.370926,"?P-65 Dr, SUNDARI MOHAN AVENUE KOLKATA -700014",CCU-C,WzN9wS3,22.550168,88.370926,0,,-0.164524334,0.159222072,4
47 Pally Jubak Brinda Durga Puja,22.571486,88.358725,"90, Chittaranjan Ave, Calcutta Medical College, College Square, Kolkata-700012",CCU-C,H0KzbPn,22.571486,88.358725,0,,0.150241976,-0.178839049,4
North Narikeldanga Bhatri Sangha & Welfare Society,22.579247,88.383158,"15/1 NARIKELDANGA NORTH ROAD, KOLKATA- 700011",CCU-C,R96n4dB,22.579247,88.383158,0,,0.26483534,0.498142131,4
Rammohan Sammilani Durga Puja,22.581558,88.375117,"4, Rammohan Roy Rd, Yogi Para, Garpar, Machuabazar, Kolkata, West Bengal 700009",CCU-C,HWQX1S2,22.581558,88.375117,0,,0.29895791,0.275344862,4
Ekta Oleander Resident,22.55891,88.379943,"Radhanath Chowdhury Road, Seal Lane, Tangra, Kolkata, West Bengal 700015",CCU-C,EnICUDO,22.55891,88.379943,0,,-0.035446227,0.409062014,4
Adhibasi Brinda (Kanai Dhar Lane),22.572353,88.365262,"25/8A, Kanai Dhar Lane Kolkata, Kolkata, West Bengal 700012",CCU-C,CiTWSru,22.572353,88.365262,0,,0.163043476,0.002285904,4
Manicktala Chaltabagan Lohapatty,22.585128,88.372193,"Raja Ram Mohan Sarani, Maniktala, Maniktala, Kolkata, West Bengal 700009",CCU-C,FYviN8r,22.585128,88.372193,0,,0.351669971,0.194327673,4
14 ER Pally Sadharan Durgotsav,22.582049,88.382161,"237P/1A, Maniktala Main Rd, Manicktala, Narkeldanga, Kolkata, West Bengal 700054",CCU-C,9x4z26T,22.582049,88.382161,0,,0.306207664,0.470517597,4
61 Pally Sarbojanin Durgotsav Committee,22.550213,88.359659,"55 mcleod street,kolkata-700017",CCU-C,z67wKvb,22.550213,88.359659,0,,-0.163859897,-0.152960097,4
Santosh Mitra Square,22.565994,88.365663,"Natabar Dutta Row Road, Lebutala, Bowbazar, Kolkata-700014",CCU-C,iU3SoEO,22.565994,88.365663,0,,0.06915104,0.013396674,4
Madhya Kolkata Uttoran,22.568376,88.361576,"21, Surendra Lal Pyne Lane, Kolkata, West Bengal 700012",CCU-C,WyXHzlq,22.568376,88.361576,0,,0.104321945,-0.099844519,4
Md. Ali Park Durga Puja (Youth Association),22.577273,88.360571,"41/A, 4th Floor, Tara Chand Dutta Street, Kolkata, West Bengal 700073",CCU-C,rlOeZL5,22.577273,88.360571,0,,0.235688671,-0.127690714,4
Brindaban Matri Mandir,22.582521,88.373226,"16, Brindaban Mullick First Lane., Sukhiya Street, Kolkata, West Bengal 700009",CCU-C,2Hne2tG,22.582521,88.373226,0,,0.313176877,0.222949683,4
Tangra Ghol Para Sarbojanin Durgotsav,22.553355,88.391036,"13D, Tangra, Kolkata, West Bengal 700046",CCU-C,NDKubcV,22.553355,88.391036,0,,-0.117467376,0.716423051,4
Milan Sangha Club,22.564491,88.384011,"Subhash Park, 167/ 40 A, Beliaghata Main Road, Chaulpatty Rd, Kulia, Tangra, Kolkata-700010",CCU-C,aYoxf1X,22.564491,88.384011,0,,0.046958819,0.521776762,4
Sarir Sangathan Samity,22.563183,88.380954,"19, S Sealdah Rd, Seal Lane, Tangra, Kolkata, West Bengal 700015",CCU-C,N6jPMje,22.563183,88.380954,0,,0.027645828,0.437074455,4
Rammohan Smriti Sangha,22.584149,88.372249,"24A, Amherst Row, Manicktala, Simla, Machuabazar, Kolkata, West Bengal 700009",CCU-C,fONPPz3,22.584149,88.372249,0,,0.337214759,0.195879302,4
Sealdah Railway Athletic Club,22.570942,88.372135,"ESI HOSPITAL, SEALDAH, 301, Acharya Jagadish Chandra Bose Road, Baitakkhana North, Kolkata - 700009, WB, India",CCU-C,KQLZNZ5,22.570942,88.372135,0,,0.142209662,0.192720629,4
Kolkata,22.56472,88.350845,"Jawaharlal Nehru Road, Esplanade, Kolkata - 700001, WB, India",CCU-C,ztFKxpF,22.56472,88.350845,0,,0.050340069,-0.397175384,4
Subodh Mallick Square,22.563452,88.359647,"Subodh Mullick Square, Ward 51, Kolkata - 700013, WB, India",CCU-C,LeFtbc2,22.563452,88.359647,0,,0.03161769,-0.153292589,4
Simla Sporting Club,22.585108,88.366717,"Simla St, Girish Park, Kolkata - 700003, WB, India",CCU-C,SCNpkay,22.585108,88.366717,0,,0.351374665,0.042600545,4
Hindu Mahasabha - Girish Park,22.586019,88.36212,"Tagore Street, Machua Bazar North, Kolkata - 700007, WB, India",CCU-C,tliQuGZ,22.586019,88.36212,0,,0.364825839,-0.084771554,4
Hindu Mahasabha Sarbojanin Durgotsav,22.5859348,88.360559,"Vivekananda Road, Kolkata- 700006, West Bengal",CCU-C,veU5uj8,22.5859348,88.360559,0,,0.363582602,-0.128023206,4
Park Circus - Uddipani,22.544149,88.370056,"Park Circus, Ward 64, Kolkata - 700017, WB, India",CCU-C,FBMGQSl,22.544149,88.370056,0,,-0.253396575,0.135116411,1
Durga Puja of 4 Ghosh Lane,22.585108,88.370789,"Sealdah North, Kolkata - 700006, WB, India",CCU-C,s4ydDX0,22.585108,88.370789,0,,0.351374665,0.155426123,4
Kanjial Para Puja Samity (Rajarhat),22.634774,88.485821,"Purba Kanjial Para, Rajarhat, Kolkata-700135",CCU-E,3rRJYvW,22.634774,88.485821,0,,1.084707228,3.342693303,2
AE Part 1 Block Committee,22.598575,88.409369,"AE-059, AE Block, Sector 1, Salt Lake City, Kolkata- 700064",CCU-E,J0yG1Yl,22.598575,88.409369,0,,0.550218736,1.224387524,2
Beleghata Nabamilan,22.565353,88.396364,"P -81,, 10, CIT Rd, Subhas Sarobar Park, Phool Bagan, Beleghata, Kolkata- 700010",CCU-E,qDp1ier,22.565353,88.396364,0,,0.059686493,0.864049447,2
FC Block Sarbojonin Durgotsav Committee,22.580016,88.4095,"FC Block, Sector III, Salt Lake City, Kolkata, West Bengal 700106",CCU-E,OW46MjO,22.580016,88.4095,0,,0.276189843,1.228017227,2
Mitra Sanghati,22.570085,88.392297,"8,Suren Sarkar Road,Kolkata-700010",CCU-E,OQShdod,22.570085,88.392297,0,,0.129555814,0.751362406,4
Dhiren Charu Smriti Sangha,22.561184,88.405335,"1a/2a Ramkrishna naskar lane,CIT More, Beleghata, Kolkata, West Bengal 700010",CCU-E,3UNWKeh,22.561184,88.405335,0,,-0.001869973,1.112614836,2
Aswininagar Sarbojanin Durgotsav [Abhiyatrik Club],22.606977,88.43276,"Aswininagar, Baguiati, Kolkata, West Bengal 700159",CCU-E,WXBwsdM,22.606977,88.43276,0,,0.674276647,1.872497324,2
BL Block Durga Puja,22.585153,88.430011,"BL Block,Sector-II, Salt Lake City, Kolkata, West Bengal 700091",CCU-E,D3D8FJ5,22.585153,88.430011,0,,0.352039103,1.796328976,2
Gurudas Park ? Beleghata,22.570605,88.390307,"Suren Sarkar Rd, Jewish Graveyard, Phool Bagan, Beleghata, Kolkata-700010",CCU-E,le0ETAG,22.570605,88.390307,0,,0.137233761,0.696224169,4
AB Block Abashik Sangha,22.593879,88.401903,"AB Block, Sector 1, Salt Lake City, Kolkata, West Bengal 700064",CCU-E,pi1lQi0,22.593879,88.401903,0,,0.480880966,1.017522158,2
CF Block Residents Association,22.594028,88.418076,"CF, CF Block, Sector 1, Salt Lake City, Kolkata, West Bengal 700064",CCU-E,rhzocdY,22.594028,88.418076,0,,0.483080993,1.465638091,2
Salt Lake BJ Block,22.591015,88.426658,"BJ Block, Sector II, Salt Lake City, Kolkata, West Bengal 700091",CCU-E,3yfgR2F,22.591015,88.426658,0,,0.438593194,1.703425202,2
BE (East) Puja Committee,22.597271,88.413822,"BE Block, Sector 1, Salt Lake City, Kolkata, West Bengal 700064",CCU-E,Sh4WJgq,22.597271,88.413822,0,,0.530964807,1.347769719,2
Beliaghata 33 Palli,22.568894,88.395676,"P-225/1, C.I.T Road, Subhas Sarobar Park, Phool Bagan, Beleghata, Kolkata-700010",CCU-E,N4Th3DO,22.568894,88.395676,0,,0.111970361,0.844986579,2
Netaji Kishore Sangha,22.609621,88.429462,"Baguihati Main Rd, Narayantola East, Ashwini Nagar, Baguiati, Kolkata-700159",CCU-E,uhVSDAK,22.609621,88.429462,0,,0.713316056,1.781117472,2
BB Block Resident's Association,22.591803,88.402764,"BB Block, Sector 1, Salt Lake City, Kolkata, West Bengal 700064",CCU-E,RMKX14j,22.591803,88.402764,0,,0.450228237,1.04137845,2
AG Block Durga Puja,22.598204,88.423222,"AG Block, Sector II, Salt Lake City, Bidhannagar, West Bengal 700091",CCU-E,QMgLkG1,22.598204,88.423222,0,,0.544740816,1.608221693,2
Balaka Abasan Puja Committee,22.574399,88.453674,"Balaka Abasan,CG Block, Action Area I, Newtown, Kolkata- 700156",CCU-E,RCMTWUc,22.574399,88.453674,0,,0.193253246,2.451975259,2
FE Block Residents' Association,22.579946,88.414879,"FE Block, Sector III, Salt Lake City, Kolkata, West Bengal 700106",CCU-E,qTehMR7,22.579946,88.414879,0,,0.275156273,1.377056713,2
Mitali Kankurkachi Durgapuja,22.579986,88.394219,"179A/1A, Maniktala Main Rd, Kadapara, Sector 1, Kankurgachi, Kolkata, West Bengal 700054",CCU-E,e2pUQLR,22.579986,88.394219,0,,0.275746884,0.804616523,2
Beleghata 33 No Pallibasibrinda,22.568204,88.391848,"P-225/1, C.I.T Road, Kolkata-700010",CCU-E,hWLHpIi,22.568204,88.391848,0,,0.101782316,0.738921668,4
Shramapally Adhibasibrinda,22.55867,88.410391,"Chaulpatty Rd, Kulia, Beleghata, Kolkata, West Bengal 700010",CCU-E,519MTlS,22.55867,88.410391,0,,-0.038989895,1.252704749,2
Jal Vayu Vihar Puja Committee,22.55899,88.412077,"Jal Vayu Vihar, LB Block, Sector III, Salt Lake City, Kolkata, West Bengal 700098",CCU-E,RWf9Fe8,22.55899,88.412077,0,,-0.034265005,1.299419858,2
Ultadanga Sangrami,22.590404,88.39489,"Bagmari Rd, Block Number 5, BRS 3, Ghose Bagan, Bidhannagar, West Bengal 700054",CCU-E,AdWeWXY,22.590404,88.39489,0,,0.429571606,0.82320836,2
FD Block Sarbojanin Puja Committee,22.583649,88.41243,"FD-63/A, FD Block, Sector III, Salt Lake City, Kolkata, West Bengal 700106",CCU-E,7iKghHn,22.583649,88.41243,0,,0.329832117,1.309200661,2
